,label,cor0,,cor1,,cor2,,cor3,,cor4,
1,2,2,TRUE,0,FALSE,2,TRUE,2,TRUE,2,TRUE
2,4,4,TRUE,0,FALSE,4,TRUE,4,TRUE,2,FALSE
3,5,0,FALSE,0,FALSE,5,TRUE,5,TRUE,5,TRUE
4,2,2,TRUE,0,FALSE,2,TRUE,2,TRUE,2,TRUE
5,3,3,TRUE,0,FALSE,3,TRUE,3,TRUE,3,TRUE
6,2,2,TRUE,0,FALSE,2,TRUE,2,TRUE,2,TRUE
7,1,1,TRUE,0,FALSE,1,TRUE,1,TRUE,1,TRUE
8,3,2,FALSE,0,FALSE,3,TRUE,3,TRUE,3,TRUE
9,1,1,TRUE,0,FALSE,1,TRUE,1,TRUE,1,TRUE
10,5,2,FALSE,0,FALSE,0,FALSE,5,TRUE,0,FALSE
11,1,1,TRUE,0,FALSE,1,TRUE,1,TRUE,1,TRUE
12,5,0,FALSE,0,FALSE,5,TRUE,5,TRUE,5,TRUE
13,3,0,FALSE,0,FALSE,3,TRUE,3,TRUE,3,TRUE
14,1,1,TRUE,0,FALSE,1,TRUE,1,TRUE,1,TRUE
15,1,1,TRUE,0,FALSE,1,TRUE,1,TRUE,1,TRUE
16,1,0,FALSE,0,FALSE,1,TRUE,1,TRUE,1,TRUE
17,1,1,TRUE,0,FALSE,1,TRUE,1,TRUE,1,TRUE
18,5,5,TRUE,0,FALSE,5,TRUE,5,TRUE,5,TRUE
19,5,5,TRUE,0,FALSE,5,TRUE,5,TRUE,5,TRUE
20,5,5,TRUE,0,FALSE,0,FALSE,5,TRUE,5,TRUE
acc,,,,,,,90%,,100%,,90%
